segment_id,t_start,t_end,density_mean,density_mean_fresh,density_peak_fresh,abs_rel_err
M1,2025-10-14 08:26:00+00:00,2025-10-14 08:28:00+00:00,0.0,0.0,0.0,0.0
M1,2025-10-14 08:28:00+00:00,2025-10-14 08:30:00+00:00,0.0004000000000000001,0.0004000000000000001,0.001,0.0
M1,2025-10-14 08:30:00+00:00,2025-10-14 08:32:00+00:00,0.0,0.0,0.0,0.0
M1,2025-10-14 08:32:00+00:00,2025-10-14 08:34:00+00:00,0.00019999999999999996,0.00019999999999999996,0.001,0.0
M1,2025-10-14 08:34:00+00:00,2025-10-14 08:36:00+00:00,0.0002,0.0002,0.001,0.0
M1,2025-10-14 08:36:00+00:00,2025-10-14 08:38:00+00:00,0.0010000000000000002,0.0010000000000000002,0.003,0.0
M1,2025-10-14 08:38:00+00:00,2025-10-14 08:40:00+00:00,0.0005999999999999998,0.0005999999999999998,0.002,0.0
M1,2025-10-14 08:40:00+00:00,2025-10-14 08:42:00+00:00,0.0008,0.0008,0.001,0.0
M1,2025-10-14 08:42:00+00:00,2025-10-14 08:44:00+00:00,0.0006000000000000001,0.0006000000000000001,0.001,0.0
M1,2025-10-14 08:44:00+00:00,2025-10-14 08:46:00+00:00,0.0006000000000000001,0.0006000000000000001,0.002,0.0
M1,2025-10-14 08:46:00+00:00,2025-10-14 08:48:00+00:00,0.0006,0.0006,0.001,0.0
M1,2025-10-14 08:48:00+00:00,2025-10-14 08:50:00+00:00,0.00019999999999999996,0.00019999999999999996,0.001,0.0
M1,2025-10-14 08:50:00+00:00,2025-10-14 08:52:00+00:00,0.001,0.001,0.002,0.0
M1,2025-10-14 08:52:00+00:00,2025-10-14 08:54:00+00:00,0.0002,0.0002,0.001,0.0
M1,2025-10-14 08:54:00+00:00,2025-10-14 08:56:00+00:00,0.001,0.001,0.003,0.0
M1,2025-10-14 08:56:00+00:00,2025-10-14 08:58:00+00:00,0.001,0.001,0.002,0.0
M1,2025-10-14 08:58:00+00:00,2025-10-14 09:00:00+00:00,0.0002,0.0002,0.001,0.0
M1,2025-10-14 09:00:00+00:00,2025-10-14 09:02:00+00:00,0.0,0.0,0.0,0.0
M1,2025-10-14 09:02:00+00:00,2025-10-14 09:04:00+00:00,0.0008,0.0008,0.002,0.0
M1,2025-10-14 09:04:00+00:00,2025-10-14 09:06:00+00:00,0.0007999999999999999,0.0007999999999999999,0.002,0.0
M1,2025-10-14 09:06:00+00:00,2025-10-14 09:08:00+00:00,0.0006,0.0006,0.002,0.0
M1,2025-10-14 09:08:00+00:00,2025-10-14 09:10:00+00:00,0.00039999999999999996,0.00039999999999999996,0.001,0.0
M1,2025-10-14 09:10:00+00:00,2025-10-14 09:12:00+00:00,0.0006000000000000001,0.0006000000000000001,0.001,0.0
M1,2025-10-14 09:12:00+00:00,2025-10-14 09:14:00+00:00,0.0009999999999999998,0.0009999999999999998,0.002,0.0
M1,2025-10-14 09:14:00+00:00,2025-10-14 09:16:00+00:00,0.0007999999999999998,0.0007999999999999998,0.002,0.0
M1,2025-10-14 09:16:00+00:00,2025-10-14 09:18:00+00:00,0.00019999999999999996,0.00019999999999999996,0.001,0.0
M1,2025-10-14 09:18:00+00:00,2025-10-14 09:20:00+00:00,0.001,0.001,0.002,0.0
M1,2025-10-14 09:20:00+00:00,2025-10-14 09:22:00+00:00,0.0006,0.0006,0.002,0.0
M1,2025-10-14 09:22:00+00:00,2025-10-14 09:24:00+00:00,0.001,0.001,0.003,0.0
M1,2025-10-14 09:24:00+00:00,2025-10-14 09:26:00+00:00,0.0,0.0,0.0,0.0
M1,2025-10-14 09:26:00+00:00,2025-10-14 09:28:00+00:00,0.0004000000000000001,0.0004000000000000001,0.001,0.0
M1,2025-10-14 09:28:00+00:00,2025-10-14 09:30:00+00:00,0.0007999999999999998,0.0007999999999999998,0.002,0.0
M1,2025-10-14 09:30:00+00:00,2025-10-14 09:32:00+00:00,0.00039999999999999996,0.00039999999999999996,0.001,0.0
M1,2025-10-14 09:32:00+00:00,2025-10-14 09:34:00+00:00,0.0008,0.0008,0.002,0.0
M1,2025-10-14 09:34:00+00:00,2025-10-14 09:36:00+00:00,0.00019999999999999996,0.00019999999999999996,0.001,0.0
M1,2025-10-14 09:36:00+00:00,2025-10-14 09:38:00+00:00,0.0006000000000000001,0.0006000000000000001,0.001,0.0
M1,2025-10-14 09:38:00+00:00,2025-10-14 09:40:00+00:00,0.0008,0.0008,0.002,0.0
M2,2025-10-14 07:00:00+00:00,2025-10-14 07:02:00+00:00,0.0008,0.0008,0.002,0.0
M2,2025-10-14 07:02:00+00:00,2025-10-14 07:04:00+00:00,0.0003999999999999999,0.0003999999999999999,0.001,0.0
M2,2025-10-14 07:04:00+00:00,2025-10-14 07:06:00+00:00,0.00040000000000000013,0.00040000000000000013,0.002,0.0
M2,2025-10-14 07:06:00+00:00,2025-10-14 07:08:00+00:00,0.0006000000000000001,0.0006000000000000001,0.002,0.0
M2,2025-10-14 07:08:00+00:00,2025-10-14 07:10:00+00:00,0.0,0.0,0.0,0.0
M2,2025-10-14 07:10:00+00:00,2025-10-14 07:12:00+00:00,0.0010000000000000002,0.0010000000000000002,0.002,0.0
M2,2025-10-14 07:12:00+00:00,2025-10-14 07:14:00+00:00,0.0008,0.0008,0.002,0.0
M2,2025-10-14 07:14:00+00:00,2025-10-14 07:16:00+00:00,0.0,0.0,0.0,0.0
M2,2025-10-14 07:16:00+00:00,2025-10-14 07:18:00+00:00,0.0008,0.0008,0.001,0.0
M2,2025-10-14 07:18:00+00:00,2025-10-14 07:20:00+00:00,0.001,0.001,0.002,0.0
M2,2025-10-14 07:20:00+00:00,2025-10-14 07:22:00+00:00,0.0,0.0,0.0,0.0
M2,2025-10-14 07:22:00+00:00,2025-10-14 07:24:00+00:00,0.0004,0.0004,0.001,0.0
M2,2025-10-14 07:24:00+00:00,2025-10-14 07:26:00+00:00,0.0005999999999999998,0.0005999999999999998,0.001,0.0
M2,2025-10-14 07:26:00+00:00,2025-10-14 07:28:00+00:00,0.0,0.0,0.0,0.0
M2,2025-10-14 07:28:00+00:00,2025-10-14 07:30:00+00:00,0.0005999999999999998,0.0005999999999999998,0.002,0.0
M2,2025-10-14 07:30:00+00:00,2025-10-14 07:32:00+00:00,0.00019999999999999996,0.00019999999999999996,0.001,0.0
M2,2025-10-14 07:32:00+00:00,2025-10-14 07:34:00+00:00,0.0006,0.0006,0.001,0.0
M2,2025-10-14 07:34:00+00:00,2025-10-14 07:36:00+00:00,0.0002,0.0002,0.001,0.0
M2,2025-10-14 07:36:00+00:00,2025-10-14 07:38:00+00:00,0.0004,0.0004,0.002,0.0
M2,2025-10-14 07:38:00+00:00,2025-10-14 07:40:00+00:00,0.0005999999999999998,0.0005999999999999998,0.001,0.0
M2,2025-10-14 07:40:00+00:00,2025-10-14 07:42:00+00:00,0.0007999999999999999,0.0007999999999999999,0.002,0.0
M2,2025-10-14 07:42:00+00:00,2025-10-14 07:44:00+00:00,0.001,0.001,0.002,0.0
M2,2025-10-14 07:44:00+00:00,2025-10-14 07:46:00+00:00,0.00019999999999999996,0.00019999999999999996,0.001,0.0
M2,2025-10-14 07:46:00+00:00,2025-10-14 07:48:00+00:00,0.0006000000000000001,0.0006000000000000001,0.002,0.0
M2,2025-10-14 07:48:00+00:00,2025-10-14 07:50:00+00:00,0.00019999999999999996,0.00019999999999999996,0.001,0.0
M2,2025-10-14 07:50:00+00:00,2025-10-14 07:52:00+00:00,0.0008,0.0008,0.002,0.0
M2,2025-10-14 07:52:00+00:00,2025-10-14 07:54:00+00:00,0.0006000000000000001,0.0006000000000000001,0.001,0.0
M2,2025-10-14 07:54:00+00:00,2025-10-14 07:56:00+00:00,0.0008,0.0008,0.001,0.0
M2,2025-10-14 07:56:00+00:00,2025-10-14 07:58:00+00:00,0.00020000000000000006,0.00020000000000000006,0.001,0.0
M2,2025-10-14 07:58:00+00:00,2025-10-14 08:00:00+00:00,0.00039999999999999996,0.00039999999999999996,0.001,0.0
M2,2025-10-14 08:00:00+00:00,2025-10-14 08:02:00+00:00,0.0,0.0,0.0,0.0
M2,2025-10-14 08:02:00+00:00,2025-10-14 08:04:00+00:00,0.0,0.0,0.0,0.0
M2,2025-10-14 08:04:00+00:00,2025-10-14 08:06:00+00:00,0.0007999999999999999,0.0007999999999999999,0.002,0.0
M2,2025-10-14 08:06:00+00:00,2025-10-14 08:08:00+00:00,0.0004,0.0004,0.001,0.0
M2,2025-10-14 08:08:00+00:00,2025-10-14 08:10:00+00:00,0.0,0.0,0.0,0.0
M2,2025-10-14 08:10:00+00:00,2025-10-14 08:12:00+00:00,0.0006000000000000001,0.0006000000000000001,0.002,0.0
M2,2025-10-14 08:12:00+00:00,2025-10-14 08:14:00+00:00,0.0009999999999999998,0.0009999999999999998,0.002,0.0
M2,2025-10-14 08:14:00+00:00,2025-10-14 08:16:00+00:00,0.0008,0.0008,0.002,0.0
M2,2025-10-14 08:16:00+00:00,2025-10-14 08:18:00+00:00,0.0004,0.0004,0.001,0.0
M2,2025-10-14 08:18:00+00:00,2025-10-14 08:20:00+00:00,0.0006000000000000001,0.0006000000000000001,0.001,0.0
M2,2025-10-14 08:20:00+00:00,2025-10-14 08:22:00+00:00,0.0,0.0,0.0,0.0
M2,2025-10-14 08:22:00+00:00,2025-10-14 08:24:00+00:00,0.0,0.0,0.0,0.0
M2,2025-10-14 08:24:00+00:00,2025-10-14 08:26:00+00:00,0.0008000000000000001,0.0008000000000000001,0.002,0.0
M2,2025-10-14 08:26:00+00:00,2025-10-14 08:28:00+00:00,0.00020000000000000006,0.00020000000000000006,0.001,0.0
M2,2025-10-14 08:28:00+00:00,2025-10-14 08:30:00+00:00,0.0006,0.0006,0.001,0.0
M2,2025-10-14 08:30:00+00:00,2025-10-14 08:32:00+00:00,0.0005999999999999998,0.0005999999999999998,0.002,0.0
M2,2025-10-14 08:32:00+00:00,2025-10-14 08:34:00+00:00,0.0008,0.0008,0.002,0.0
M2,2025-10-14 08:34:00+00:00,2025-10-14 08:36:00+00:00,0.0002,0.0002,0.001,0.0
M2,2025-10-14 08:36:00+00:00,2025-10-14 08:38:00+00:00,0.0,0.0,0.0,0.0
M2,2025-10-14 08:38:00+00:00,2025-10-14 08:40:00+00:00,0.0005999999999999998,0.0005999999999999998,0.002,0.0
M2,2025-10-14 08:40:00+00:00,2025-10-14 08:42:00+00:00,0.0,0.0,0.0,0.0
M2,2025-10-14 08:42:00+00:00,2025-10-14 08:44:00+00:00,0.00039999999999999996,0.00039999999999999996,0.001,0.0
M2,2025-10-14 08:44:00+00:00,2025-10-14 08:46:00+00:00,0.0006000000000000001,0.0006000000000000001,0.001,0.0
M2,2025-10-14 08:46:00+00:00,2025-10-14 08:48:00+00:00,0.0008,0.0008,0.002,0.0
M2,2025-10-14 08:48:00+00:00,2025-10-14 08:50:00+00:00,0.0006000000000000001,0.0006000000000000001,0.002,0.0
M2,2025-10-14 08:50:00+00:00,2025-10-14 08:52:00+00:00,0.00039999999999999996,0.00039999999999999996,0.001,0.0
M2,2025-10-14 08:52:00+00:00,2025-10-14 08:54:00+00:00,0.0005999999999999998,0.0005999999999999998,0.001,0.0
M2,2025-10-14 08:54:00+00:00,2025-10-14 08:56:00+00:00,0.0008,0.0008,0.002,0.0
M2,2025-10-14 08:56:00+00:00,2025-10-14 08:58:00+00:00,0.0004000000000000001,0.0004000000000000001,0.001,0.0
M2,2025-10-14 08:58:00+00:00,2025-10-14 09:00:00+00:00,0.0006000000000000001,0.0006000000000000001,0.001,0.0
M2,2025-10-14 09:00:00+00:00,2025-10-14 09:02:00+00:00,0.0005999999999999998,0.0005999999999999998,0.001,0.0
M2,2025-10-14 09:02:00+00:00,2025-10-14 09:04:00+00:00,0.0003999999999999999,0.0003999999999999999,0.001,0.0
M2,2025-10-14 09:04:00+00:00,2025-10-14 09:06:00+00:00,0.0,0.0,0.0,0.0
M2,2025-10-14 09:06:00+00:00,2025-10-14 09:08:00+00:00,0.0,0.0,0.0,0.0
M2,2025-10-14 09:08:00+00:00,2025-10-14 09:10:00+00:00,0.0007999999999999999,0.0007999999999999999,0.003,0.0
M2,2025-10-14 09:10:00+00:00,2025-10-14 09:12:00+00:00,0.0003999999999999999,0.0003999999999999999,0.001,0.0
M2,2025-10-14 09:12:00+00:00,2025-10-14 09:14:00+00:00,0.0004,0.0004,0.002,0.0
M2,2025-10-14 09:14:00+00:00,2025-10-14 09:16:00+00:00,0.00040000000000000013,0.00040000000000000013,0.002,0.0
M2,2025-10-14 09:16:00+00:00,2025-10-14 09:18:00+00:00,0.0007999999999999999,0.0007999999999999999,0.002,0.0
M2,2025-10-14 09:18:00+00:00,2025-10-14 09:20:00+00:00,0.0006000000000000001,0.0006000000000000001,0.001,0.0
M2,2025-10-14 09:20:00+00:00,2025-10-14 09:22:00+00:00,0.0004,0.0004,0.002,0.0
M2,2025-10-14 09:22:00+00:00,2025-10-14 09:24:00+00:00,0.00040000000000000013,0.00040000000000000013,0.002,0.0
M2,2025-10-14 09:24:00+00:00,2025-10-14 09:26:00+00:00,0.00039999999999999996,0.00039999999999999996,0.001,0.0
M2,2025-10-14 09:26:00+00:00,2025-10-14 09:28:00+00:00,0.0,0.0,0.0,0.0
M2,2025-10-14 09:28:00+00:00,2025-10-14 09:30:00+00:00,0.00019999999999999996,0.00019999999999999996,0.001,0.0
M2,2025-10-14 09:30:00+00:00,2025-10-14 09:32:00+00:00,0.00019999999999999996,0.00019999999999999996,0.001,0.0
M2,2025-10-14 09:32:00+00:00,2025-10-14 09:34:00+00:00,0.0007999999999999999,0.0007999999999999999,0.001,0.0
M2,2025-10-14 09:34:00+00:00,2025-10-14 09:36:00+00:00,0.0006000000000000001,0.0006000000000000001,0.002,0.0
M2,2025-10-14 09:36:00+00:00,2025-10-14 09:38:00+00:00,0.00019999999999999996,0.00019999999999999996,0.001,0.0
M2,2025-10-14 09:38:00+00:00,2025-10-14 09:40:00+00:00,0.0008,0.0008,0.002,0.0
